指标名称,activity,time,request,death,size,feedback,issue,quality,act_final,health
AdguardTeam_AdguardFilters,4.0,7.48,7.9,1.62,3.0,3.47,8.3,2.29,6.24,4.91
airbytehq_airbyte,10.0,7.94,7.09,1.56,3.0,10.0,7.61,6.8,8.14,8.0
alibaba_nacos,1.98,3.97,7.48,0.34,3.0,10.0,7.31,3.43,4.43,5.82
angular_angular,2.57,6.87,2.36,0.2,4.0,9.57,6.86,5.72,3.91,6.18
angular_components,1.09,4.98,5.69,0.34,3.0,6.46,7.21,5.34,3.87,5.5
ankidroid_Anki-Android,3.96,4.61,7.7,0.61,3.0,6.57,6.61,6.05,5.34,6.05
ansible_ansible,2.41,6.75,4.64,0.1,4.0,6.72,5.43,4.84,4.59,5.26
ant-design_ant-design,1.17,6.63,8.01,1.15,4.0,10.0,6.38,4.59,5.12,6.19
apache_airflow,6.65,7.59,5.25,0.11,3.0,10.0,6.31,6.67,6.48,7.21
apache_apisix,5.2,5.13,8.07,0.21,3.0,10.0,7.14,7.62,6.11,7.55
apache_arrow,9.8,6.5,3.32,1.63,3.0,9.32,3.81,8.83,6.32,7.17
apache_beam,10.0,5.82,4.75,0.12,3.0,5.99,6.0,7.83,6.84,6.8
apache_dolphinscheduler,5.0,5.48,8.08,0.2,3.0,10.0,7.25,4.4,6.16,6.62
apache_doris,8.12,4.98,7.84,3.24,3.0,10.0,8.83,5.35,6.55,7.34
apache_flink,10.0,5.7,3.35,0.0,3.0,10.0,3.13,8.25,6.35,7.01
apache_hudi,7.55,6.44,6.97,3.42,3.0,6.09,5.28,8.81,6.53,6.88
apache_iceberg,7.51,5.07,6.05,0.75,3.0,5.45,6.6,10.0,6.11,7.24
apache_pulsar,8.04,6.35,6.4,1.52,3.0,10.0,6.68,6.07,6.73,7.18
apache_shardingsphere,4.31,5.65,9.8,1.84,3.0,10.0,7.01,3.5,6.34,6.35
apache_spark,10.0,10.0,4.08,0.0,3.0,10.0,0.0,10.0,8.03,7.41
apache_superset,3.58,7.44,6.25,0.86,3.0,10.0,6.9,4.89,5.64,6.54
apache_tvm,8.05,6.17,6.94,0.0,3.0,8.15,6.19,7.84,7.05,7.34
apple_swift,10.0,8.07,5.69,0.0,3.0,10.0,6.13,5.13,7.92,7.14
appsmithorg_appsmith,10.0,6.69,6.2,0.61,3.0,10.0,7.5,5.79,7.55,7.5
archway-network_testnets,1.67,0.95,2.92,8.46,4.0,10.0,1.84,1.92,0.72,3.16
ArduPilot_ardupilot,5.69,5.84,4.05,0.0,3.0,9.31,6.58,5.14,5.19,6.28
argoproj_argo-cd,2.15,5.67,6.34,2.26,3.0,7.16,7.5,4.93,4.42,5.74
AUTOMATIC1111_stable-diffusion-webui,2.02,10.0,7.51,1.25,4.0,10.0,5.42,3.43,6.34,6.02
Automattic_jetpack,9.19,5.78,6.47,0.0,3.0,1.67,6.89,5.22,7.15,5.42
Automattic_wp-calypso,10.0,8.21,7.76,0.0,3.0,3.58,6.82,5.94,8.66,6.46
aws-amplify_amplify-cli,2.43,4.51,6.58,0.0,3.0,2.21,7.12,5.54,4.51,4.88
aws_aws-cdk,3.74,7.03,4.49,0.35,3.0,4.32,6.87,7.23,5.04,5.92
azerothcore_azerothcore-wotlk,5.2,5.02,6.64,0.12,3.0,5.62,6.89,4.5,5.6,5.53
Azure_azure-cli,2.21,4.78,7.8,0.62,3.0,2.44,6.45,6.84,4.85,5.28
Azure_azure-powershell,5.31,4.35,7.62,0.0,3.0,2.72,6.8,6.05,5.76,5.45
Azure_azure-rest-api-specs,6.9,5.42,6.81,1.2,3.0,2.6,6.18,6.72,6.22,5.64
Azure_azure-sdk-for-java,8.34,5.21,6.96,3.43,3.0,2.94,7.21,6.15,6.38,5.79
Azure_azure-sdk-for-js,9.56,5.27,5.75,1.07,3.0,3.39,7.12,6.43,6.72,6.05
Azure_azure-sdk-for-net,6.43,4.62,7.81,0.3,3.0,3.2,7.01,7.09,6.25,6.04
Azure_azure-sdk-for-python,6.77,4.6,5.54,2.73,3.0,3.7,6.17,4.94,5.27,5.04
backstage_backstage,9.43,5.8,9.0,0.0,3.0,10.0,6.56,5.99,8.08,7.53
bevyengine_bevy,6.75,6.24,3.28,0.0,3.0,10.0,6.48,7.51,5.42,7.18
bioconda_bioconda-recipes,9.21,5.41,5.74,0.33,3.0,2.6,5.61,3.32,6.74,4.66
bitcoin_bitcoin,5.78,8.8,6.24,0.0,3.0,10.0,5.78,8.9,6.94,7.91
bitnami_charts,3.8,4.8,8.68,4.82,3.0,6.57,4.83,4.65,5.12,5.21
brave_brave-browser,2.08,7.33,7.49,0.66,3.0,4.77,8.7,3.62,5.55,5.44
brave_brave-core,10.0,6.78,6.54,0.16,2.0,3.95,3.13,7.03,7.75,5.85
ccxt_ccxt,2.4,5.75,6.62,0.14,3.0,10.0,6.74,3.79,4.9,5.96
ceph_ceph,10.0,7.51,4.56,0.0,3.0,4.73,0.0,5.95,7.36,4.94
Chia-Network_chia-blockchain,1.74,9.1,7.0,9.0,4.0,5.13,6.12,4.64,4.75,5.07
cilium_cilium,10.0,6.85,6.95,2.12,3.0,10.0,6.84,6.74,7.65,7.68
CleverRaven_Cataclysm-DDA,6.39,8.27,6.11,0.0,3.0,3.39,6.92,4.57,6.92,5.51
ClickHouse_ClickHouse,5.53,6.91,6.75,0.98,3.0,8.9,7.22,4.38,6.27,6.42
cloudflare_cloudflare-docs,9.46,4.12,7.36,0.32,3.0,5.79,7.19,5.21,6.94,6.24
cms-sw_cmssw,10.0,6.79,8.31,0.0,3.0,1.97,3.34,5.64,8.37,5.26
cockroachdb_cockroach,10.0,6.24,7.84,0.2,3.0,10.0,6.87,4.46,8.0,7.11
conan-io_conan-center-index,7.55,6.99,7.68,0.0,3.0,2.22,6.38,6.92,7.41,6.02
conda-forge_staged-recipes,8.03,6.54,7.46,0.66,3.0,2.39,5.66,6.63,7.26,5.78
containers_podman,4.69,5.64,8.82,0.92,3.0,5.4,4.92,6.3,6.26,5.83
coolsnowwolf_lede,1.16,8.23,5.72,2.09,3.0,10.0,7.29,2.06,4.76,5.5
cypress-io_cypress,1.84,6.37,4.95,3.2,3.0,7.35,7.98,5.56,3.96,5.92
darktable-org_darktable,5.06,6.25,6.89,3.84,3.0,6.1,6.2,4.27,5.55,5.41
DataDog_datadog-agent,10.0,5.39,5.75,0.3,3.0,2.65,6.51,6.55,7.01,5.9
dbeaver_dbeaver,1.38,5.59,8.62,0.44,3.0,6.87,7.91,3.89,5.14,5.66
DefinitelyTyped_DefinitelyTyped,4.03,6.25,7.44,0.0,3.0,5.77,6.26,4.12,5.91,5.42
demisto_content,10.0,5.08,6.76,1.0,3.0,2.54,3.41,6.02,7.15,5.14
denoland_deno,3.46,8.98,7.02,1.86,3.0,10.0,7.1,5.57,6.24,6.96
department-of-veterans-affairs_va.gov-team,6.59,4.56,5.94,1.86,3.0,3.07,8.56,4.48,5.45,5.31
desktop_desktop,1.26,6.04,5.46,0.0,3.0,7.4,6.95,4.95,4.25,5.63
directus_directus,2.17,4.84,7.79,3.94,3.0,10.0,6.92,2.79,4.41,5.54
docker_docs,3.95,3.62,6.0,0.13,3.0,5.17,7.67,3.39,4.51,4.94
dotnet_aspnetcore,2.1,6.26,6.33,1.92,4.0,4.89,7.14,5.62,4.64,5.48
dotnet_AspNetCore.Docs,4.25,5.69,8.89,0.41,3.0,10.0,7.47,4.7,6.22,6.77
dotnet_docs,4.62,4.03,8.19,2.11,3.0,4.58,7.51,4.64,5.33,5.41
dotnet_efcore,2.12,5.3,7.99,0.0,3.0,3.75,8.07,5.8,5.14,5.65
dotnet_maui,3.47,7.02,5.68,2.29,3.0,10.0,7.23,3.57,5.08,6.04
dotnet_roslyn,6.9,6.09,5.25,0.0,3.0,3.97,7.05,9.85,6.08,6.98
dotnet_runtime,5.54,8.79,6.61,0.0,3.0,2.98,6.67,8.87,6.98,6.68
education_GitHubGraduation-2022,5.69,6.0,4.94,9.09,4.0,4.44,4.41,2.67,4.33,3.87
elastic_elasticsearch,6.45,7.79,6.83,0.0,3.0,9.13,5.86,6.24,7.02,6.98
elastic_kibana,6.22,7.1,7.41,0.0,3.0,3.23,6.58,5.45,6.91,5.67
electron_electron,1.24,7.64,7.22,0.0,3.0,10.0,6.97,4.32,5.37,6.3
element-fi_elf-council-frontend,2.06,0.33,4.63,2.22,4.0,9.58,3.64,0.0,2.04,3.26
element-plus_element-plus,3.26,5.74,6.66,0.0,3.0,10.0,6.22,4.16,5.22,6.06
elementor_elementor,1.84,5.2,6.25,0.48,3.0,2.64,7.63,5.8,4.37,5.11
envoyproxy_envoy,7.09,6.85,6.74,0.63,3.0,7.89,6.68,10.0,6.81,7.96
espressif_esp-idf,2.89,6.95,3.27,0.5,3.0,4.97,7.0,2.8,4.3,4.52
ethereum_ethereum-org-website,4.73,2.89,7.78,1.11,3.0,8.3,7.06,4.66,4.99,5.97
Expensify_App,9.32,5.59,7.21,0.0,3.0,2.19,4.82,7.07,7.37,5.73
expo_expo,1.86,7.08,4.69,1.12,3.0,7.01,7.11,4.67,4.39,5.54
facebook_react,1.29,9.88,5.77,0.0,3.0,10.0,6.47,5.14,5.65,6.53
facebook_react-native,2.23,8.69,3.31,0.0,4.0,6.86,6.58,3.01,4.74,5.01
filecoin-project_filecoin-plus-large-datasets,1.48,3.6,5.29,1.3,3.0,1.69,6.04,1.01,3.28,2.83
files-community_Files,2.29,6.62,9.43,2.94,3.0,10.0,7.05,4.26,5.72,6.4
firebase_firebase-android-sdk,6.48,3.94,7.59,0.0,3.0,3.26,4.02,7.23,6.0,5.42
firebase_flutterfire,2.07,4.5,5.09,0.23,3.0,4.26,6.34,4.85,3.86,4.73
firstcontributions_first-contributions,4.67,7.93,7.47,2.53,4.0,8.53,4.22,1.36,6.35,4.86
flathub_flathub,2.12,4.69,4.06,0.14,3.0,3.05,4.79,10.0,3.6,5.65
flutter_engine,10.0,5.27,8.63,0.0,3.0,8.09,5.49,3.6,7.97,6.19
flutter_flutter,1.6,10.0,6.88,3.61,4.0,10.0,6.97,5.74,5.68,6.82
flutter_plugins,5.19,5.03,5.16,0.14,3.0,10.0,1.89,6.24,5.11,5.78
flybywiresim_a32nx,3.62,7.13,6.35,0.94,3.0,4.49,6.34,5.95,5.57,5.62
freddier_hyperblog,0.64,6.42,0.48,0.21,3.0,10.0,10.0,0.11,2.49,4.78
gatsbyjs_gatsby,3.2,7.2,6.82,2.84,4.0,10.0,6.72,4.47,5.36,6.29
gentoo_gentoo,10.0,9.95,3.99,0.0,3.0,2.19,0.0,3.01,7.98,3.74
