Ö¸±êÃû³Æ,activity,time,request,death,size,feedback,issue,quality,act_final,health,stars,month,contributor,fork
openvinotoolkit_openvino,5.72,5.41,4.04,0.19,3,5.16,5.05,8.17,5.03,6,4754,54,3183,1802
openwrt_openwrt,5.58,6.15,2.24,1.69,3,10,6.37,6.05,4.43,6.42,16115,89,4114,12210
oppia_oppia,9.34,7.09,6.04,0,3,5.41,6.48,10,7.49,7.62,5955,92,3096,4467
PaddlePaddle_Paddle,5.27,4.61,3.6,0,3,4.26,6.57,5.48,4.49,5.16,10145,35,3732,2933
PaddlePaddle_PaddleOCR,2.36,3.4,7.35,0,3,10,7.06,3.95,4.37,5.91,30992,35,677,6773
pandas-dev_pandas,3.92,7.19,6.15,0,3,7.04,6.74,8.35,5.75,6.99,37669,99,5485,19897
php_php-src,6.34,6.52,2.04,0,3,10,5.14,4.45,4.97,5.85,35117,99,3381,9456
pingcap_tidb,9.6,5.87,8.13,0.88,3,10,6.52,6.39,7.75,7.55,37021,91,4609,6830
PixelExperience_android-issues,1.35,4.37,8.33,0.42,3,2.36,6.7,0,4.63,3.2,94,24,3,70
postmanlabs_postman-app-support,1.73,4.68,6.65,0,3,1.97,7.38,0.99,4.35,3.47,4652,99,60,749
PowerShell_PowerShell,2.68,5.85,5.92,0,3,9.83,6.75,8.86,4.82,7.42,43175,80,1671,7856
ppy_osu,4.09,6.05,7.07,1.46,3,9.69,6.67,5.61,5.54,6.62,13760,96,1613,3825
PrestaShop_PrestaShop,5.72,4.15,5.28,0,3,4.97,6.45,6.72,5.05,5.82,7931,99,3765,5930
prisma_prisma,2.01,5.98,6.82,0.22,3,8.11,7.69,4.23,4.91,5.9,31951,46,783,1426
project-chip_connectedhomeip,10,6.79,8.71,0,3,6.21,6.88,6.64,8.5,7.16,6009,33,2355,1564
prusa3d_PrusaSlicer,1.58,4.96,2.71,0.82,3,3.27,7.3,1.93,2.97,3.58,6422,85,849,1556
python_cpython,6.36,9.2,4.46,0,3,10,6.05,4.05,6.67,6.43,58655,74,6240,36263
pytorch_pytorch,7.29,7.96,2.87,0,4,7.54,6.75,5.78,6.04,6.4,71080,75,16000,22920
qbittorrent_qBittorrent,1.42,6.92,6.89,0,3,3.95,7.05,10,5.08,6.72,21363,99,1155,3462
qgis_QGIS,7.19,6.42,7.15,0.2,3,4.02,6.57,4.76,6.89,5.61,7161,99,4123,2905
qmk_qmk-firmware,5.66,5.95,6.79,1.11,3,10,6.06,7.52,5.99,7.26,15560,99,7503,35776
quarkusio_quarkus,5.29,7.07,8.4,0,3,4.29,6.61,6.4,6.92,6.18,12449,49,3620,2795
rails_rails,3.24,8.42,4.37,0,3,6.1,6.27,5.26,5.34,5.65,39325,99,8045,21034
rancher_rancher,2.24,6.21,5.55,0.4,3,4.32,8.02,4.93,4.61,5.33,22049,99,2056,3460
rapid7_metasploit-framework,5.71,6,6.05,0,3,10,6.67,7.79,5.92,7.45,30548,99,3673,13890
