指标名称,指标值
open-telemetry_opentelemetry-collector-contrib,1592.0
OpenAPITools_openapi-generator,16192.0
opencv_opencv,71645.0
openhab_openhab-addons,2015.0
openjdk_jdk,16710.0
openjournals_joss-reviews,688.0
openshift_openshift-docs,715.0
openshift_release,269.0
openssl_openssl,22797.0
openvinotoolkit_openvino,4754.0
openwrt_openwrt,16115.0
oppia_oppia,5955.0
PaddlePaddle_Paddle,10145.0
PaddlePaddle_PaddleOCR,30992.0
pandas-dev_pandas,37669.0
php_php-src,35117.0
pingcap_tidb,37021.0
PixelExperience_android-issues,94.0
postmanlabs_postman-app-support,4652.0
PowerShell_PowerShell,43175.0
ppy_osu,13760.0
PrestaShop_PrestaShop,7931.0
prisma_prisma,31951.0
project-chip_connectedhomeip,6009.0
prusa3d_PrusaSlicer,6422.0
python_cpython,58655.0
pytorch_pytorch,71080.0
qbittorrent_qBittorrent,21363.0
qgis_QGIS,7161.0
qmk_qmk-firmware,15560.0
quarkusio_quarkus,12449.0
rails_rails,39325.0
rancher_rancher,22049.0
rapid7_metasploit-framework,30548.0
ray-project_ray,27132.0
raycast_extensions,3386.0
redis_redis,55790.0
Regalis11_Barotrauma,1370.0
remix-run_remix,23229.0
renovatebot_renovate,12165.0
RocketChat_Rocket.Chat,39806.0
RPCS3_rpcs3,12776.0
rstudio_rstudio,3855.0
ruffle-rs_ruffle,12989.0
rust-lang_rust,83278.0
scikit-learn_scikit-learn,55800.0
scipy_scipy,10941.0
section-engineering-education_engineering-education,552.0
SerenityOS_serenity,27842.0
ShadowMario_FNF-PsychEngine,979.0
Skyrat-SS13_Skyrat-tg,135.0
solana-labs_solana,11276.0
solana-labs_token-list,1644.0
sourcegraph_sourcegraph,13559.0
spack_spack,3540.0
spyder-ide_spyder,8668.0
storybookjs_storybook,83616.0
strapi_strapi,56816.0
sveltejs_kit,14363.0
symfony_symfony,23679.0
systemd_systemd,12254.0
tachiyomiorg_tachiyomi,23616.0
tachiyomiorg_tachiyomi-extensions,2833.0
tailscale_tailscale,11461.0
taosdata_TDengine,22529.0
taozhiyu_TyProAction,844.0
TeamNewPipe_NewPipe,26354.0
tensorflow_tensorflow,202349.0
termux_termux-packages,11692.0
tgstation_tgstation,1834.0
TP-Lab_tokens,391.0
trinodb_trino,7857.0
trustwallet_assets,4358.0
type-challenges_type-challenges,32275.0
uBlockOrigin_uAssets,2753.0
Ultimaker_Cura,5099.0
ultralytics_yolov5,39168.0
unifyai_ivy,10740.0
ValveSoftware_Dota2-Gameplay,1015.0
ValveSoftware_Proton,20828.0
vectordotdev_vector,13448.0
vercel_next.js,114509.0
vitejs_vite,56732.0
void-linux_void-packages,2321.0
webcompat_web-bugs,661.0
wjz304_Redpill-CustomBuild,1003.0
woocommerce_woocommerce,8021.0
WordPress_gutenberg,9598.0
xamarin_xamarin-macios,2587.0
xbmc_xbmc,14189.0
yt-dlp_yt-dlp,46139.0
yuzu-emu_yuzu,26465.0
zephyrproject-rtos_zephyr,8143.0
zero-to-mastery_start-here-guidelines,2342.0
ziglang_zig,22513.0
zulip_zulip,19342.0
